asset_class,symbol,tf,group,spec,entry,direction,exit,gate,sharpe,sortino,max_dd,months_in_profit,ann_turnover,total_return,n_obs
crypto,ETHUSDT,1h,entry,strength|ls,strength,ls,-,-,0.114,0.238,-0.2137,0.506,169.8,0.0444,2404
crypto,ETHUSDT,1h,direction,"ema|fast50,slow200|reversal|long_only",ema,long_only,reversal,-,0.585,0.783,-0.2056,0.443,26.0,0.5689,2404
crypto,ETHUSDT,1h,direction,"ema|fast50,slow200|reversal|short_only",ema,short_only,reversal,-,-0.319,-0.392,-0.352,0.405,24.7,-0.2499,2404
crypto,ETHUSDT,1h,direction,"ema|fast50,slow200|reversal|asym",ema,asym,reversal,-,0.485,0.749,-0.209,0.456,33.4,0.4515,2404
crypto,ETHUSDT,1h,exit,"ema|fast50,slow200|atr_trailing|ls",ema,ls,atr_trailing,-,0.092,0.151,-0.3374,0.544,127.2,0.0064,2404
crypto,ETHUSDT,1h,exit,"ema|fast50,slow200|channel|ls",ema,ls,channel,-,-0.268,-0.434,-0.4707,0.481,142.8,-0.3397,2404
crypto,ETHUSDT,1h,gate,"ema|fast50,slow200|g:adx|reversal|ls",ema,ls,reversal,adx,0.505,0.858,-0.2253,0.519,45.4,0.6105,2404
crypto,ETHUSDT,1h,gate,"ema|fast50,slow200|g:ltf|reversal|ls",ema,ls,reversal,ltf,0.227,0.384,-0.2956,0.532,50.7,0.1747,2404
crypto,ETHUSDT,1h,gate,"ema|fast50,slow200|g:vol|reversal|ls",ema,ls,reversal,vol,0.052,0.086,-0.3506,0.506,50.1,-0.0378,2404
crypto,ETHUSDT,1h,headline,blend|long_only,blend,long_only,-,-,0.772,1.285,-0.0821,0.456,26.3,0.3789,2404
crypto,ETHUSDT,1h,headline,blend|asym,blend,asym,-,-,0.747,1.481,-0.078,0.494,33.7,0.3789,2404
crypto,ETHUSDT,15m,entry,"ema|fast20,slow100|reversal|ls",ema,ls,reversal,-,-0.451,-0.764,-0.7043,0.456,389.2,-0.4707,2404
crypto,ETHUSDT,15m,entry,"ema|fast50,slow200|reversal|ls",ema,ls,reversal,-,0.453,0.765,-0.2656,0.57,211.6,0.5316,2404
crypto,ETHUSDT,15m,entry,"ema|fast100,slow300|reversal|ls",ema,ls,reversal,-,0.101,0.179,-0.3344,0.519,157.9,0.0148,2404
crypto,ETHUSDT,15m,entry,"sma|fast50,slow200|reversal|ls",sma,ls,reversal,-,0.201,0.348,-0.4387,0.557,222.3,0.141,2404
crypto,ETHUSDT,15m,entry,tsmom|lookback30|reversal|ls,tsmom,ls,reversal,-,-5.763,-8.875,-0.9993,0.051,1978.7,-0.9992,2404
crypto,ETHUSDT,15m,entry,tsmom|lookback90|reversal|ls,tsmom,ls,reversal,-,-2.612,-4.372,-0.9691,0.291,1165.8,-0.9645,2404
crypto,ETHUSDT,15m,entry,"macd|fast12,slow26|reversal|ls",macd,ls,reversal,-,-5.663,-8.592,-0.9988,0.038,1690.1,-0.9988,2404
crypto,ETHUSDT,15m,entry,donchian|lookback55|reversal|ls,donchian,ls,reversal,-,-0.584,-0.966,-0.6698,0.367,267.3,-0.5473,2404
crypto,ETHUSDT,15m,entry,blend|ls,blend,ls,-,-,-0.111,-0.309,-0.2628,0.405,219.0,-0.0865,2404
crypto,ETHUSDT,15m,entry,strength|ls,strength,ls,-,-,-2.847,-6.562,-0.9021,0.241,789.4,-0.8929,2404
crypto,ETHUSDT,15m,direction,"ema|fast50,slow200|reversal|long_only",ema,long_only,reversal,-,0.687,1.176,-0.2293,0.494,107.9,0.7096,2404
crypto,ETHUSDT,15m,direction,"ema|fast50,slow200|reversal|short_only",ema,short_only,reversal,-,-0.067,-0.108,-0.2315,0.494,103.7,-0.0972,2404
